"CL","LAST-NONSPEC-TEAM","CURRENT-TEAM","NAME-CLEAN","NAME-RAW","SCORE-CURRENT","SCORE-SUM","CAPTURES-CURRENT","CAPTURES-SUM","RETURNS-CURRENT","RETURNS-SUM","BC-CURRENT","BC-SUM","ASSISTS-CURRENT","ASSISTS-SUM","FLAGHOLD-CURRENT","FLAGHOLD-SUM","FLAGGRABS-CURRENT","FLAGGRABS-SUM","MINEGRABS-TOTAL","MINEGRABS-REDBASE","MINEGRABS-BLUEBASE","MINEGRABS-NEUTRAL","ACCURACY-WEIRD","KILLS","DEATHS","TOTALKILLS-MOH","PING-CURRENT","PING-MEAN","PING-MEAN-DEVIATION","TIME-CURRENT","TIME-SUM","GLICKO2-RATING","GLICKO2-DEVIATION","DFA-KILLS","DFA-RETURNS","RED-KILLS","RED-RETURNS","YEL-KILLS","YEL-RETURNS","BLU-KILLS","BLU-RETURNS","DBS-KILLS","DBS-RETURNS","DBS-ATTEMPTS","BS-KILLS","BS-RETURNS","MINE-KILLS","MINE-RETURNS","UPCUT-KILLS","UPCUT-RETURNS","YDFA-KILLS","YDFA-RETURNS","BLUBS-KILLS","BLUBS-RETURNS","DOOM-KILLS","DOOM-RETURNS","TUR-KILLS","TUR-RETURNS","UNKN-KILLS","UNKN-RETURNS","IDLE-KILLS","IDLE-RETURNS"
"22","Blue","Blue","cooky","^4^4^7cooky","898","898","1","1","15","15","5","5","5","5","69780","69780","4","4","1","1","0","0","0","33","27","","79","78.39499764039641","0.6760191386930434","33","33","1568","76","6","4","5","0","8","2","0","0","3","3","9","11","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Blue","Blue","[ I ] CaraxeS","^0^Xff0540^Xff008f[ I ] CaraxeS","835","835","4","4","2","2","10","10","1","1","955440","955440","19","19","5","5","0","0","9","33","28","","103","103.6875884851345","3.755956953520112","33","33","1583","72","11","1","13","0","7","0","0","0","0","0","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Blue","Blue","-<(TFJ)>-Captain_Apple","^5^5^4-<(TFJ)>-^1^1^1C^4aptain_Apple","636","636","0","0","7","7","29","29","0","0","15980","15980","1","1","35","0","35","0","0","44","35","","103","103.18383742911153","0.9932397297310773","33","33","1515","61","7","1","6","1","5","0","0","0","1","0","5","9","2","15","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"12","Blue","Blue","[DBD]ew0k","^7^7^4[^7DBD^4]^7ew^40^7k","571","571","2","2","1","1","8","8","0","0","627230","627230","16","16","3","2","1","0","144","20","27","","127","128.43558282208588","2.376834584168142","33","33","1538","87","6","1","5","0","6","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Blue","Blue","devydevydevydevy","devydevydevydevy","439","439","0","0","7","7","2","2","1","1","15050","15050","1","1","1","1","0","0","400","30","35","","114","115.79282680509674","3.6770304056117156","33","33","1370","68","8","1","8","2","5","0","0","0","4","1","4","4","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"21","Blue","Blue","</besty./>","^6</besty./>","274","274","0","0","1","1","7","7","0","0","0","0","0","0","10","9","1","0","0","23","43","","150","151.57884796978283","4.020505302116471","33","33","1292","73","6","0","6","0","0","0","0","0","3","0","16","2","0","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Red","Red","endru","endru","847","847","0","0","17","17","10","10","4","4","271360","271360","2","2","0","0","0","0","0","35","23","","108","108.78905143935819","0.7602395220636429","33","33","1578","83","10","4","10","4","8","4","1","1","0","0","1","6","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Red","Red","Xan","^8^7^8Xan","641","641","4","4","1","1","2","2","0","0","962440","962440","15","15","2","1","1","0","33","11","26","","54","53.802265219443136","0.6083224625756691","33","33","1432","87","3","0","2","0","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Red","Red","zimzimma","^1zim^4zimma","563","563","0","0","10","10","9","9","1","1","0","0","0","0","0","0","0","0","0","41","23","","82","82.41395568128242","2.6065730310979136","33","33","1655","72","18","4","9","3","11","2","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"1","Red","Red","sora","^8^5^8sora","503","503","2","2","1","1","2","2","0","0","245300","245300","14","14","5","0","5","0","0","27","33","","105","105.88536238749408","4.466850250403822","33","33","1534","66","7","0","6","0","8","1","0","0","0","0","2","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
