"CL","LAST-NONSPEC-TEAM","CURRENT-TEAM","NAME-CLEAN","NAME-RAW","SCORE-CURRENT","SCORE-SUM","CAPTURES-CURRENT","CAPTURES-SUM","RETURNS-CURRENT","RETURNS-SUM","BC-CURRENT","BC-SUM","ASSISTS-CURRENT","ASSISTS-SUM","FLAGHOLD-CURRENT","FLAGHOLD-SUM","FLAGGRABS-CURRENT","FLAGGRABS-SUM","MINEGRABS-TOTAL","MINEGRABS-REDBASE","MINEGRABS-BLUEBASE","MINEGRABS-NEUTRAL","ACCURACY-WEIRD","KILLS","DEATHS","TOTALKILLS-MOH","PING-CURRENT","PING-MEAN","PING-MEAN-DEVIATION","TIME-CURRENT","TIME-SUM","GLICKO2-RATING","GLICKO2-DEVIATION","DFA-KILLS","DFA-RETURNS","RED-KILLS","RED-RETURNS","YEL-KILLS","YEL-RETURNS","BLU-KILLS","BLU-RETURNS","DBS-KILLS","DBS-RETURNS","DBS-ATTEMPTS","BS-KILLS","BS-RETURNS","MINE-KILLS","MINE-RETURNS","UPCUT-KILLS","UPCUT-RETURNS","YDFA-KILLS","YDFA-RETURNS","BLUBS-KILLS","BLUBS-RETURNS","DOOM-KILLS","DOOM-RETURNS","TUR-KILLS","TUR-RETURNS","UNKN-KILLS","UNKN-RETURNS","IDLE-KILLS","IDLE-RETURNS"
"14","Red","Red","[dA]devil","^0^X998181^X73292d[dA]devil","1541","1541","1","1","36","36","9","9","7","7","42990","42990","1","1","4","3","1","0","160","68","32","","86","86.3494067154759","1.3358533573414662","63","63","1618","63","16","5","20","13","15","8","0","0","7","5","27","7","6","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Red","Red","Ben","Ben","713","713","0","0","3","3","52","52","1","1","0","0","0","0","57","57","0","0","1","66","56","","74","73.77931904161413","2.501609600014825","63","63","1423","54","18","0","16","1","5","1","0","0","0","0","0","2","0","24","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"6","Red","Red","ALF","ALF","713","713","3","3","1","1","8","8","0","0","1382110","1382110","21","21","1","0","1","0","0","48","38","","71","70.65749621403332","0.7008724573881419","63","63","1595","62","17","0","23","1","4","0","1","0","1","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Red","Red","JAzZyLuKe","^1JAzZyLuKe","702","702","1","1","11","11","7","7","2","2","296540","296540","4","4","0","0","0","0","0","41","43","","98","99.25857719475277","1.110898943199885","63","63","1453","60","15","4","10","4","13","3","0","0","2","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Red","Red","killzo","^0^yf00f^yffa0kill^0^y00ff^y43a0zo","684","684","2","2","3","3","6","6","0","0","1514380","1514380","19","19","6","1","5","0","7","35","45","","105","104.22426841574168","3.030355396494443","63","63","1479","64","8","1","2","0","19","1","2","0","0","0","2","1","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Red","Red","[DBD]ew0k","^7^7^1[^7DBD^1]^7ew^10^7k","555","555","0","0","3","3","26","26","0","0","214940","214940","8","8","22","0","22","0","123","76","47","","121","120.90792129162462","0.8888329032892529","63","63","1509","57","29","1","8","1","20","0","0","0","0","0","5","0","0","15","1","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"11","Blue","Blue","yuki","yuki","943","943","0","0","23","23","11","11","1","1","47690","47690","2","2","1","1","0","0","0","42","44","","118","117.73700151438668","0.6410088704784309","63","63","1603","73","6","3","19","8","4","2","0","0","5","4","21","8","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","Blue","Blue","Glempan","Glempan","686","686","2","2","6","6","7","7","0","0","901690","901690","21","21","8","8","0","0","0","36","48","","95","94.76639757820384","2.2987999851443015","63","63","1506","72","8","1","13","1","12","1","0","0","0","0","1","2","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Blue","Blue","{FoU} Original.","^9^9^9{^7FoU^9} ^7Original^9.","629","629","1","1","6","6","8","8","0","0","1613900","1613900","21","21","5","5","0","0","237","44","44","","89","88.71060606060605","1.2651460714816638","63","63","1556","63","12","3","15","0","7","0","2","0","0","0","3","7","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Blue","Blue","</besty./>","^/</^&besty.^7/>","523","523","0","0","3","3","34","34","1","1","0","0","0","0","37","0","37","0","10","40","65","","125","138.30096105209913","28.289939052252727","63","63","1355","57","18","1","8","2","2","0","0","0","0","0","5","1","0","10","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"2","Blue","Blue","ling","ling","512","512","0","0","3","3","37","37","0","0","22550","22550","4","4","26","0","26","0","3","57","73","","93","92.67952597075138","3.1096809093132185","63","63","1444","49","27","1","12","0","9","0","0","0","0","0","2","4","1","4","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"21","Blue","Blue","X","^8^6^8X","290","290","0","0","2","2","6","6","0","0","562760","562760","11","11","4","4","0","0","66","37","49","","54","53.81347150259067","0.9240174002277493","49","49","1521","58","14","0","10","1","5","0","0","0","1","0","9","5","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"12","Blue","Spectator","X","^8^6^8X","62","62","0","0","0","0","2","2","0","0","292290","292290","5","5","0","0","0","0","0","5","11","","54","53.673170731707316","0.8311098633736848","13","13","1389","153","1","0","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Blue","Blue","Desann","Desann","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Spectator","Spectator","Padawan (5)","^0^1^0P^5^1^5a^1^1^1d^1^2^1a^2^3^2w^3^1^3an ^7(^25^7)","943","943","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Spectator","Spectator","Padawan (4)","^0^1^0P^5^1^5a^1^1^1d^1^2^1a^2^3^2w^2^4^2an ^7(^24^7)","713","713","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Spectator","Spectator","Melek","^0^x07a^x800Melek","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Spectator","Spectator","new player","new player","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
