"CL","LAST-NONSPEC-TEAM","CURRENT-TEAM","NAME-CLEAN","NAME-RAW","SCORE-CURRENT","SCORE-SUM","CAPTURES-CURRENT","CAPTURES-SUM","RETURNS-CURRENT","RETURNS-SUM","BC-CURRENT","BC-SUM","ASSISTS-CURRENT","ASSISTS-SUM","FLAGHOLD-CURRENT","FLAGHOLD-SUM","FLAGGRABS-CURRENT","FLAGGRABS-SUM","MINEGRABS-TOTAL","MINEGRABS-REDBASE","MINEGRABS-BLUEBASE","MINEGRABS-NEUTRAL","ACCURACY-WEIRD","KILLS","DEATHS","TOTALKILLS-MOH","PING-CURRENT","PING-MEAN","PING-MEAN-DEVIATION","TIME-CURRENT","TIME-SUM","GLICKO2-RATING","GLICKO2-DEVIATION","DFA-KILLS","DFA-RETURNS","RED-KILLS","RED-RETURNS","YEL-KILLS","YEL-RETURNS","BLU-KILLS","BLU-RETURNS","DBS-KILLS","DBS-RETURNS","DBS-ATTEMPTS","BS-KILLS","BS-RETURNS","MINE-KILLS","MINE-RETURNS","UPCUT-KILLS","UPCUT-RETURNS","YDFA-KILLS","YDFA-RETURNS","BLUBS-KILLS","BLUBS-RETURNS","DOOM-KILLS","DOOM-RETURNS","TUR-KILLS","TUR-RETURNS","UNKN-KILLS","UNKN-RETURNS","IDLE-KILLS","IDLE-RETURNS"
"1","Red","Red","shax   ","^1shax   ","1019","1019","5","5","6","6","8","8","0","0","1282300","1282300","23","23","8","0","8","0","52","26","29","","88","84.33802816901408","2.5189262163340773","53","53","1562","81","12","3","4","2","6","0","0","0","1","1","2","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Red","Red","loomsuxx4zzazza","^yloom^ysuxx^y4zzazza","896","896","0","0","19","19","8","8","2","2","81120","81120","2","2","2","1","1","0","33","43","50","","90","89.67976011994003","1.0847150957782785","53","53","1451","59","15","4","2","1","10","4","0","0","4","2","13","10","7","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Red","Red","suvix.pl","suvix^1.pl","824","824","2","2","6","6","7","7","0","0","990730","990730","27","27","2","0","2","0","0","23","39","","96","95.91451709658068","1.184614093132324","53","53","1419","71","6","2","9","4","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Red","Red","endru","endru","763","763","0","0","12","12","19","19","3","3","267030","267030","4","4","6","1","5","0","276","60","50","","108","107.19460269865067","0.7722128581055888","53","53","1510","52","27","6","11","0","13","2","1","1","0","0","5","6","3","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"12","Red","Red","7,sdretar dio","^y7,sdretar dio","723","723","0","0","7","7","34","34","4","4","5690","5690","3","3","40","38","2","0","14","61","52","","60","60.67466266866567","0.8036664474589498","53","53","1484","53","13","1","13","3","17","0","0","0","1","0","2","3","2","13","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"14","Red","Red","pi > theodore bagwell","^0^x0fa^xd8api > theodore bagwell","615","615","0","0","4","4","34","34","1","1","250000","250000","8","8","22","0","22","0","7","95","56","","101","101.41901619676065","0.7736734439141929","53","53","1584","47","46","1","14","2","15","0","1","0","0","0","0","2","0","15","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"5","Blue","Blue","bizzle","bizzle","983","983","0","0","21","21","17","17","2","2","31510","31510","3","3","2","2","0","0","0","55","43","","90","89.00869565217391","3.017527400376023","53","53","1498","60","21","5","10","5","13","5","0","0","6","3","16","4","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Blue","Blue","Grassland Lime","^2^8^2Grassland Lime","955","955","1","1","10","10","46","46","1","1","14400","14400","2","2","36","0","36","0","15","68","77","","55","54.486356821589204","1.4724994544287773","53","53","1442","49","15","1","14","1","10","0","0","0","3","2","5","12","3","13","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"15","Blue","Blue","CHEE$E","^x8ab^x78bCHEE$E","769","769","0","0","16","16","12","12","1","1","27380","27380","2","2","2","2","0","0","0","51","58","","48","47.86172765446911","2.1502679377631617","53","53","1462","57","29","9","8","4","12","2","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Blue","Blue","5aru","^0^y415d^x35b5aru","754","754","4","4","1","1","5","5","0","0","1090090","1090090","24","24","5","5","0","0","0","15","36","","51","50.38565426170468","0.7750293867544502","53","53","1440","84","7","1","3","0","3","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Blue","Blue","pi > loom","^X33195b^X33195b^X2e256bpi > loom","703","703","1","1","3","3","17","17","1","1","1374280","1374280","25","25","4","4","0","0","118","34","41","","94","93.69745127436282","0.8275120015403273","53","53","1545","61","8","0","11","0","8","0","0","0","0","0","2","5","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Blue","Blue","Ori666","^0^X4f072e^X4f072eOri^X000000666","589","589","0","0","6","6","25","25","1","1","336280","336280","10","10","25","24","1","0","16","53","53","","90","88.26710684273709","1.0024392384378715","53","53","1491","51","28","5","9","0","10","0","0","0","0","0","3","4","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Spectator","Spectator","Padawan (3)","^0^1^0P^5^0^5a^0^1^0d^7^4^7a^7^2^7w^7^4^7an ^7(^23^7)","896","896","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
