"CL","LAST-NONSPEC-TEAM","CURRENT-TEAM","NAME-CLEAN","NAME-RAW","SCORE-CURRENT","SCORE-SUM","CAPTURES-CURRENT","CAPTURES-SUM","RETURNS-CURRENT","RETURNS-SUM","BC-CURRENT","BC-SUM","ASSISTS-CURRENT","ASSISTS-SUM","FLAGHOLD-CURRENT","FLAGHOLD-SUM","FLAGGRABS-CURRENT","FLAGGRABS-SUM","MINEGRABS-TOTAL","MINEGRABS-REDBASE","MINEGRABS-BLUEBASE","MINEGRABS-NEUTRAL","ACCURACY-WEIRD","KILLS","DEATHS","TOTALKILLS-MOH","PING-CURRENT","PING-MEAN","PING-MEAN-DEVIATION","TIME-CURRENT","TIME-SUM","GLICKO2-RATING","GLICKO2-DEVIATION","DFA-KILLS","DFA-RETURNS","RED-KILLS","RED-RETURNS","YEL-KILLS","YEL-RETURNS","BLU-KILLS","BLU-RETURNS","DBS-KILLS","DBS-RETURNS","DBS-ATTEMPTS","BS-KILLS","BS-RETURNS","MINE-KILLS","MINE-RETURNS","UPCUT-KILLS","UPCUT-RETURNS","YDFA-KILLS","YDFA-RETURNS","BLUBS-KILLS","BLUBS-RETURNS","DOOM-KILLS","DOOM-RETURNS","TUR-KILLS","TUR-RETURNS","UNKN-KILLS","UNKN-RETURNS","IDLE-KILLS","IDLE-RETURNS"
"5","Red","Red","bizzle","bizzle","1351","1351","0","0","30","30","17","24","5","5","381390","381390","3","3","4","2","2","0","20","63","41","","88","88.63203230148048","1.2974753574264497","60","60","1566","51","17","2","16","10","13","6","0","0","2","2","9","12","9","0","0","2","0","0","0","1","1","0","0","0","0","0","0","0","0"
"2","Red","Red","5aru","^0^y415d^x35b5aru","854","854","4","4","4","4","5","5","0","0","1231080","1231080","23","23","4","0","4","0","0","13","31","","51","52.830280172413794","4.305703555884751","60","60","1490","111","5","2","3","2","2","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"16","Red","Red","Flawless","^Xb9f2ff^X145f9c^Xb9f2ffFlawless","846","846","0","0","9","9","45","45","0","0","14730","14730","2","2","28","28","0","0","0","70","55","","100","100.86260775862068","4.540754524529353","60","60","1499","50","21","2","8","1","8","0","0","0","3","0","15","14","3","16","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Red","Red","Ori666","^0^X4f072e^X4f072eOri^X000000666","778","778","1","1","11","11","17","17","2","2","329380","329380","7","7","23","0","23","0","70","54","45","","90","88.85199138858988","1.1347096554091254","60","60","1565","53","24","5","8","2","13","2","0","0","1","0","1","1","1","5","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"1","Red","Red",".skillzo","^s.s^7killzo","661","661","0","0","7","7","28","28","1","1","51500","51500","3","3","22","21","1","0","16","67","69","","103","102.44438459466738","1.8725025862672064","60","60","1523","44","15","0","7","2","25","4","0","0","3","0","4","8","1","8","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"14","Red","Red","pi > loom","^X33195b^X33195b^X2e256bpi > loom","655","655","2","2","3","3","7","7","0","0","1244020","1244020","19","19","14","0","14","0","58","23","32","","94","93.76481681034483","1.005867092951614","60","60","1434","78","9","0","6","1","1","0","0","0","2","1","4","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Blue","Blue","pi > theodore bagwell","^0^x0fa^xd8api > theodore bagwell","1053","1053","2","2","7","7","68","68","0","0","126610","126610","4","4","38","1","37","0","9","97","61","","108","105.3691437802908","4.246475426513894","60","60","1518","42","30","0","13","2","31","2","1","0","2","0","6","2","0","17","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"6","Blue","Blue","zza","zza","809","809","0","0","22","22","6","6","1","1","7470","7470","2","2","0","0","0","0","0","31","46","","90","88.67267833109017","1.2813998959337278","60","60","1455","73","4","2","6","5","8","5","0","0","8","6","16","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Blue","Blue","endru","endru","741","741","1","1","4","4","13","13","2","2","1467060","1467060","30","30","2","2","0","0","350","32","42","","107","106.83961248654467","0.749310598468009","60","60","1521","66","12","2","7","1","9","1","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Blue","Blue","Grassland Lime","^2^8^2Grassland Lime","533","533","1","1","2","2","6","6","0","0","1322710","1322710","24","24","1","1","0","0","300","27","40","","54","53.974158815612384","0.6259354767676848","60","60","1515","64","7","1","7","0","8","0","0","0","0","0","2","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Blue","Blue","death rides a grey horse","^3^3^1death rides a grey horse","447","447","0","0","7","7","7","7","1","1","6600","6600","3","3","0","0","0","0","0","31","54","","84","82.48706199460916","0.6955536443491978","60","60","1393","57","15","5","3","1","10","1","0","0","0","0","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
