"CL","LAST-NONSPEC-TEAM","CURRENT-TEAM","NAME-CLEAN","NAME-RAW","SCORE-CURRENT","SCORE-SUM","CAPTURES-CURRENT","CAPTURES-SUM","RETURNS-CURRENT","RETURNS-SUM","BC-CURRENT","BC-SUM","ASSISTS-CURRENT","ASSISTS-SUM","FLAGHOLD-CURRENT","FLAGHOLD-SUM","FLAGGRABS-CURRENT","FLAGGRABS-SUM","MINEGRABS-TOTAL","MINEGRABS-REDBASE","MINEGRABS-BLUEBASE","MINEGRABS-NEUTRAL","ACCURACY-WEIRD","KILLS","DEATHS","TOTALKILLS-MOH","PING-CURRENT","PING-MEAN","PING-MEAN-DEVIATION","TIME-CURRENT","TIME-SUM","GLICKO2-RATING","GLICKO2-DEVIATION","DFA-KILLS","DFA-RETURNS","RED-KILLS","RED-RETURNS","YEL-KILLS","YEL-RETURNS","BLU-KILLS","BLU-RETURNS","DBS-KILLS","DBS-RETURNS","DBS-ATTEMPTS","BS-KILLS","BS-RETURNS","MINE-KILLS","MINE-RETURNS","UPCUT-KILLS","UPCUT-RETURNS","YDFA-KILLS","YDFA-RETURNS","BLUBS-KILLS","BLUBS-RETURNS","DOOM-KILLS","DOOM-RETURNS","TUR-KILLS","TUR-RETURNS","UNKN-KILLS","UNKN-RETURNS","IDLE-KILLS","IDLE-RETURNS"
"1","Blue","Blue","ling","ling","896","1226","6","6","7","7","3","9","1","1","158300","776600","11","29","3","0","3","0","0","27","29","","14","13.742463393626185","0.7842092275473396","6","19","1593","82","7","3","10","3","2","1","1","0","0","0","8","5","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"7","Blue","Blue","Mister","Mister","632","632","1","1","7","7","5","5","4","4","170650","170650","7","7","0","0","0","0","0","12","8","","19","18.03660886319846","0.9189761744719336","8","8","1501","112","1","1","0","0","3","1","0","0","3","2","6","4","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Red","Red","JazzyBitchD","^0^yf00f^yffa0Jazzy^0^y00ff^y43a0BitchD","78","899","0","0","12","12","1","8","0","1","32040","65270","2","5","0","0","0","0","0","21","21","","61","63.44484304932735","2.092771639907579","2","17","1458","91","9","4","6","5","0","0","0","0","1","1","11","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Red","Red","grrr","grrr","635","635","0","0","15","15","9","9","0","0","185940","185940","7","7","0","0","0","0","0","24","16","","12","12.001945525291829","0.4831762100422516","18","18","1492","101","5","2","3","2","9","4","0","0","4","2","16","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"5","Red","Red","Somehow, Palpatine","Somehow, Palpatine","311","311","0","0","6","6","5","5","0","0","100720","100720","8","8","2","0","2","0","0","12","24","","19","20.34285714285714","2.4807010200788815","17","17","1326","96","2","1","5","3","2","1","0","0","2","1","10","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Red","Red","s","s","162","162","0","0","3","3","2","2","0","0","457460","457460","6","6","1","0","1","0","0","7","5","","21","21.924786324786325","0.670107273323985","9","9","1546","155","1","1","0","0","0","0","0","0","4","1","6","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"4","Spectator","Spectator","Padawan (4)","^0^1^0P^5^1^5a^1^5^1d^5^7^5a^3^3^3w^4^0^4an ^7(^24^7)","632","632","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","Spectator","Spectator","Padawan (0)","^0^1^0P^5^1^5a^1^5^1d^5^7^5a^3^3^3w^3^2^3an ^7(^20^7)","78","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","Spectator","Spectator","tom","tom","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
