"CL","LAST-NONSPEC-TEAM","CURRENT-TEAM","NAME-CLEAN","NAME-RAW","SCORE-CURRENT","SCORE-SUM","CAPTURES-CURRENT","CAPTURES-SUM","RETURNS-CURRENT","RETURNS-SUM","BC-CURRENT","BC-SUM","ASSISTS-CURRENT","ASSISTS-SUM","FLAGHOLD-CURRENT","FLAGHOLD-SUM","FLAGGRABS-CURRENT","FLAGGRABS-SUM","MINEGRABS-TOTAL","MINEGRABS-REDBASE","MINEGRABS-BLUEBASE","MINEGRABS-NEUTRAL","ACCURACY-WEIRD","KILLS","DEATHS","TOTALKILLS-MOH","PING-CURRENT","PING-MEAN","PING-MEAN-DEVIATION","TIME-CURRENT","TIME-SUM","GLICKO2-RATING","GLICKO2-DEVIATION","DFA-KILLS","DFA-RETURNS","RED-KILLS","RED-RETURNS","YEL-KILLS","YEL-RETURNS","BLU-KILLS","BLU-RETURNS","DBS-KILLS","DBS-RETURNS","DBS-ATTEMPTS","BS-KILLS","BS-RETURNS","MINE-KILLS","MINE-RETURNS","UPCUT-KILLS","UPCUT-RETURNS","YDFA-KILLS","YDFA-RETURNS","BLUBS-KILLS","BLUBS-RETURNS","DOOM-KILLS","DOOM-RETURNS","TUR-KILLS","TUR-RETURNS","UNKN-KILLS","UNKN-RETURNS","IDLE-KILLS","IDLE-RETURNS"
"14","Red","Red","s","s","790","790","4","4","4","4","5","5","1","1","480800","480800","12","12","2","0","2","0","0","28","15","","100","100.02078853046595","1.0083511977859367","22","22","1621","84","21","4","7","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Red","Red","X","^8^6^8X","741","741","1","1","9","9","26","26","1","1","44190","44190","1","1","17","16","1","0","0","37","14","","54","53.957766642806014","1.120674530978907","22","22","1522","87","11","4","4","0","3","0","3","1","3","2","6","1","0","11","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"10","Red","Red","yuki","yuki","600","600","0","0","10","10","5","5","4","4","0","0","0","0","0","0","0","0","0","20","15","","118","117.92263610315186","0.59102934534871","22","22","1660","100","4","3","3","0","4","2","0","0","3","3","14","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"12","Red","Red","{FoU} Original.","^9^9^9{^7FoU^9} ^7Original^9.","566","566","1","1","5","5","12","12","2","2","176810","176810","6","6","7","0","7","0","84","27","20","","91","92.17765042979943","1.1690684869092747","22","22","1582","85","5","2","10","2","9","1","1","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Red","Red","ling","ling","392","392","1","1","0","0","4","4","0","0","206110","206110","11","11","3","0","3","0","0","11","31","","94","94.69071428571428","6.127984945297754","22","22","1327","88","4","0","1","0","3","0","0","0","1","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Red","Red","Somehow, Palpatine","Somehow, Palpatine","364","364","0","0","3","3","3","3","1","1","8810","8810","2","2","0","0","0","0","0","17","27","","101","100.18097281831187","4.917285347726286","22","22","1466","87","6","1","5","0","2","0","0","0","0","0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Blue","Blue","Dogfuckers","^0^X196334^X3b22b2Dogfuckers","583","583","0","0","12","12","9","9","1","1","40300","40300","2","2","0","0","0","0","0","26","21","","104","103.99785254115963","0.5952529689820508","22","22","1565","76","6","1","2","1","7","3","0","0","4","2","10","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Blue","Blue","slow","slow","420","420","2","2","1","1","5","5","0","0","471670","471670","15","15","0","0","0","0","0","15","25","","71","71.36559139784946","0.6555789731478043","22","22","1471","96","8","1","3","0","1","0","0","0","2","0","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"15","Blue","Blue","Aether","^0^x199^x700Aether","400","400","0","0","5","5","21","21","0","0","0","0","0","0","16","0","16","0","12","35","16","","24","26.713978494623657","1.214865338896544","22","22","1499","79","13","2","4","1","7","0","0","0","0","0","1","2","0","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Blue","Blue","I Am.","I Am^3.","305","305","1","1","1","1","2","2","0","0","318240","318240","12","12","1","1","0","0","300","8","30","","38","38.5336676217765","0.555912233193953","22","22","1365","106","4","1","0","0","1","0","0","0","2","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
