"CL","LAST-NONSPEC-TEAM","CURRENT-TEAM","NAME-CLEAN","NAME-RAW","SCORE-CURRENT","SCORE-SUM","CAPTURES-CURRENT","CAPTURES-SUM","RETURNS-CURRENT","RETURNS-SUM","BC-CURRENT","BC-SUM","ASSISTS-CURRENT","ASSISTS-SUM","FLAGHOLD-CURRENT","FLAGHOLD-SUM","FLAGGRABS-CURRENT","FLAGGRABS-SUM","MINEGRABS-TOTAL","MINEGRABS-REDBASE","MINEGRABS-BLUEBASE","MINEGRABS-NEUTRAL","ACCURACY-WEIRD","KILLS","DEATHS","TOTALKILLS-MOH","PING-CURRENT","PING-MEAN","PING-MEAN-DEVIATION","TIME-CURRENT","TIME-SUM","GLICKO2-RATING","GLICKO2-DEVIATION","DFA-KILLS","DFA-RETURNS","RED-KILLS","RED-RETURNS","YEL-KILLS","YEL-RETURNS","BLU-KILLS","BLU-RETURNS","DBS-KILLS","DBS-RETURNS","DBS-ATTEMPTS","BS-KILLS","BS-RETURNS","MINE-KILLS","MINE-RETURNS","UPCUT-KILLS","UPCUT-RETURNS","YDFA-KILLS","YDFA-RETURNS","BLUBS-KILLS","BLUBS-RETURNS","DOOM-KILLS","DOOM-RETURNS","TUR-KILLS","TUR-RETURNS","UNKN-KILLS","UNKN-RETURNS","IDLE-KILLS","IDLE-RETURNS"
"2","Red","Red","bonkers","^0^X55807f^X7469adbonkers","1096","1096","0","0","26","26","8","8","3","3","29190","29190","2","2","1","0","1","0","0","44","23","","101","101.80415879017013","4.125468605029086","42","42","1555","81","13","9","4","3","4","2","0","0","11","8","29","11","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Red","Red","X","^8^6^8X","847","847","4","4","1","1","6","6","0","0","1015030","1015030","27","27","0","0","0","0","0","15","41","","55","53.82740348221045","0.8690349803552126","42","42","1443","84","0","0","2","0","3","0","1","0","2","0","4","5","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"19","Red","Red","{CcC} Cheese","^X800080^XFFFF00^X800080{CcC} Cheese","813","813","0","0","15","15","12","12","2","2","182050","182050","6","6","0","0","0","0","0","49","36","","38","34.90764572293717","1.8464387184805133","42","42","1562","62","26","9","10","4","11","1","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Red","Red","yuki","yuki","782","782","0","0","9","9","33","33","0","0","39040","39040","1","1","35","35","0","0","0","65","24","","117","116.30897387353275","0.7280492988780685","42","42","1602","72","21","3","13","2","5","0","0","0","8","2","23","6","1","11","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"11","Red","Red","|DefiancE| Matt","^4|^7DefiancE^4| ^7Matt","636","636","2","2","1","1","2","2","0","0","612060","612060","26","26","6","0","6","0","153","12","32","","222","221.95645588792124","2.080361321680265","42","42","1367","120","2","0","3","0","0","0","0","0","1","0","2","2","0","3","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"4","Red","Red","[DBD]ew0k","^6^6^1[^7DBD^1]^7ew^10^7k","528","528","1","1","1","1","15","15","1","1","170310","170310","12","12","11","0","11","0","174","48","48","","124","121.58034026465029","4.832709036637961","42","42","1523","57","19","1","9","0","12","0","0","0","0","0","1","0","0","5","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"14","Blue","Blue","Guerra","^3Guerra","1009","1009","0","0","21","21","14","14","2","2","74150","74150","2","2","1","1","0","0","100","41","32","","92","92.87353275274518","1.2001135784027275","42","42","1527","70","7","3","11","9","11","1","0","0","6","5","20","5","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Blue","Blue","tachycardia","^0^X0d0b12^X65147atachycardia","799","799","0","0","19","19","7","7","2","2","20","20","1","1","0","0","0","0","0","57","42","","112","111.29723589549413","2.238663207806059","42","42","1556","61","25","6","5","1","13","3","0","0","7","5","10","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Blue","Blue","cooky","^4^4^7cooky","794","794","4","4","3","3","4","4","0","0","1175220","1175220","24","24","2","2","0","0","0","14","35","","78","78.54882664647994","1.0320748089556688","42","42","1435","92","4","0","7","3","2","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Blue","Blue","[<<Jup>>]","^X2c5e05[^7<<^X2c5e05Jup^7>>^X2c5e05]","651","651","0","0","11","11","26","26","1","1","0","0","0","0","40","0","40","0","0","41","26","","36","35.121877365632095","0.5694584490176896","42","42","1473","82","21","4","8","1","2","1","0","0","0","0","0","0","0","10","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
