"CL","LAST-NONSPEC-TEAM","CURRENT-TEAM","NAME-CLEAN","NAME-RAW","SCORE-CURRENT","SCORE-SUM","CAPTURES-CURRENT","CAPTURES-SUM","RETURNS-CURRENT","RETURNS-SUM","BC-CURRENT","BC-SUM","ASSISTS-CURRENT","ASSISTS-SUM","FLAGHOLD-CURRENT","FLAGHOLD-SUM","FLAGGRABS-CURRENT","FLAGGRABS-SUM","MINEGRABS-TOTAL","MINEGRABS-REDBASE","MINEGRABS-BLUEBASE","MINEGRABS-NEUTRAL","ACCURACY-WEIRD","KILLS","DEATHS","TOTALKILLS-MOH","PING-CURRENT","PING-MEAN","PING-MEAN-DEVIATION","TIME-CURRENT","TIME-SUM","GLICKO2-RATING","GLICKO2-DEVIATION","DFA-KILLS","DFA-RETURNS","RED-KILLS","RED-RETURNS","YEL-KILLS","YEL-RETURNS","BLU-KILLS","BLU-RETURNS","DBS-KILLS","DBS-RETURNS","DBS-ATTEMPTS","BS-KILLS","BS-RETURNS","MINE-KILLS","MINE-RETURNS","UPCUT-KILLS","UPCUT-RETURNS","YDFA-KILLS","YDFA-RETURNS","BLUBS-KILLS","BLUBS-RETURNS","DOOM-KILLS","DOOM-RETURNS","TUR-KILLS","TUR-RETURNS","UNKN-KILLS","UNKN-RETURNS","IDLE-KILLS","IDLE-RETURNS"
"11","Red","Red","suvix","suvix","509","509","4","4","0","0","2","2","0","0","402050","402050","6","6","0","0","0","0","0","4","4","","95","95.2658064516129","0.906780103491143","12","12","1508","186","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Red","Red","Meadowlark Lemon","^3Meadowlark Lemon","472","472","1","1","3","3","3","3","2","2","431090","431090","8","8","5","1","4","0","0","20","13","","13","13.923473142016189","0.9029594082721865","21","21","1673","120","9","1","1","1","1","0","1","0","3","2","4","3","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Red","Red","bizzle","bizzle","463","463","1","1","2","2","15","15","0","0","37190","37190","1","1","8","8","0","0","0","22","11","","89","88.13445995591476","3.837093582704263","21","21","1604","99","11","0","3","2","3","0","0","0","0","0","4","1","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Red","Red","devydevydevydevy","devydevydevydevy","451","451","0","0","7","7","0","0","3","3","0","0","0","0","1","1","0","0","0","16","15","","112","111.08983799705449","2.6895093973617783","21","21","1479","111","4","2","3","2","5","2","0","0","1","0","3","2","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"8","Red","Red","endru","endru","367","367","0","0","7","7","2","2","1","1","0","0","0","0","0","0","0","0","0","12","3","","112","109.92108667529108","5.874296224086913","12","12","1782","145","3","2","1","0","5","2","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Red","Red","[DBD]ew0k","^7^7^1[^7DBD^1]^7ew^10^7k","195","195","0","0","1","1","5","5","1","1","15190","15190","1","1","5","0","5","0","35","14","13","","119","117.33959899749374","6.074822591103583","12","12","1400","127","7","1","0","0","2","0","0","0","0","0","0","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Red","Red","StrayedJack","^0^1^xfc0S^xfd4tray^xfd7e^xff8d^0^1^x800Jack","181","181","1","1","0","0","3","3","0","0","79550","79550","2","2","0","0","0","0","0","5","5","","99","99.75125628140704","7.265319004063223","6","6","1589","176","0","0","2","0","2","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Red","Red","tom's girlfriend","tom's girlfriend","151","151","0","0","3","3","1","1","0","0","0","0","0","0","0","0","0","0","0","6","5","","103","104.41162790697675","1.0654640439679994","7","7","1458","173","0","0","0","0","5","2","1","1","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","Red","Red","Padawan (28)","Padawan ^7(^228^7)","121","121","0","0","1","1","2","2","0","0","118540","118540","2","2","0","0","0","0","0","11","9","","70","70.17437722419929","0.724398181961623","9","9","1483","130","1","0","2","1","3","0","0","0","5","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Blue","Blue","njO* killzo","^7njO^5* ^7ki^5ll^7zo","257","257","1","1","1","1","6","6","1","1","63850","63850","5","5","5","1","4","0","0","15","16","","105","104.21087435709038","4.645119349266602","21","21","1570","97","5","0","3","1","4","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
